X,Y,osm_id,code,fclass,year
115.859587,40.2541801,1066517166,2950,tower,2014
115.8175433,40.1682538,1066533376,2950,tower,2014
115.7765842,40.1997408,1066572244,2950,tower,2014
115.7809351,40.2165633,1066572357,2950,tower,2014
115.7780398,40.2091748,1066572382,2950,tower,2014
115.7764225,40.2055282,1066572400,2950,tower,2014
115.7718778,40.2055697,1066572551,2950,tower,2014
115.7788182,40.2114276,1066572585,2950,tower,2014
115.7687779,40.1996585,1066572798,2950,tower,2014
115.778165,40.2106187,1066572925,2950,tower,2014
115.7778384,40.2095231,1066573074,2950,tower,2014
115.7685609,40.1980368,1066573163,2950,tower,2014
115.7817897,40.2054152,1066573240,2950,tower,2014
115.7784821,40.2066111,1066573405,2950,tower,2014
115.7691205,40.200433,1066573647,2950,tower,2014
115.7786249,40.2064055,1066573669,2950,tower,2014
115.7709485,40.20522,1066573693,2950,tower,2014
115.7686969,40.1883672,1066573723,2950,tower,2014
115.7687745,40.1990238,1066573745,2950,tower,2014
115.7692053,40.2011843,1066573774,2950,tower,2014
115.7689862,40.1881575,1066573821,2950,tower,2014
115.7796325,40.2123356,1066573842,2950,tower,2014
115.7806331,40.2055641,1066573872,2950,tower,2014
115.7778667,40.2093448,1066573885,2950,tower,2014
115.7694793,40.1879272,1066573896,2950,tower,2014
115.7810902,40.220471,1066573904,2950,tower,2014
115.7611081,40.1985384,1066681486,2950,tower,2014
115.7784427,40.1872148,1066681635,2950,tower,2014
115.7775859,40.1896273,1066681687,2950,tower,2014
115.7734243,40.2148402,1066681765,2950,tower,2014
115.7635952,40.2076477,1066681807,2950,tower,2014
115.7804816,40.2501823,1066681833,2950,tower,2014
115.7916524,40.2515818,1066681883,2950,tower,2014
115.7832237,40.2479491,1066681961,2950,tower,2014
115.7839785,40.2515097,1066681976,2950,tower,2014
115.7845778,40.2512974,1066681989,2950,tower,2014
115.7615393,40.1920124,1066681991,2950,tower,2014
115.781951,40.2492098,1066682025,2950,tower,2014
115.7623556,40.2061514,1066682044,2950,tower,2014
115.7606116,40.1969528,1066682048,2950,tower,2014
115.7852967,40.251033,1066682186,2950,tower,2014
115.7617713,40.1947619,1066682190,2950,tower,2014
115.7770856,40.2165739,1066682249,2950,tower,2014
115.7829289,40.2513621,1066682285,2950,tower,2014
115.7904444,40.252576,1066682313,2950,tower,2014
115.7618603,40.1950869,1066682424,2950,tower,2014
115.7615678,40.2026716,1066682447,2950,tower,2014
115.7719049,40.2154667,1066682475,2950,tower,2014
115.7799945,40.2508145,1066682562,2950,tower,2014
115.7611684,40.1964775,1066682574,2950,tower,2014
115.775083,40.2162172,1066682736,2950,tower,2014
115.7820667,40.2485763,1066682840,2950,tower,2014
115.7785422,40.1883794,1066682853,2950,tower,2014
115.7586806,40.1961728,1066682856,2950,tower,2014
115.7782898,40.1863222,1066682863,2950,tower,2014
115.8866828,40.2751096,1066715791,2950,tower,2014
115.8844581,40.272651,1066715911,2950,tower,2014
115.8801376,40.2699559,1066715939,2950,tower,2014
115.8857334,40.2745436,1066715956,2950,tower,2014
115.8696448,40.2644904,1066716043,2950,tower,2014
115.8855565,40.2744728,1066716095,2950,tower,2014
115.8900206,40.2759188,1066716164,2950,tower,2014
115.8810194,40.2706172,1066716168,2950,tower,2014
115.879945,40.2699621,1066716176,2950,tower,2014
115.8849444,40.2732212,1066716218,2950,tower,2014
115.8849678,40.273741,1066716233,2950,tower,2014
115.8918418,40.2752792,1066716255,2950,tower,2014
115.8657502,40.2609522,1066716260,2950,tower,2014
115.8758454,40.2705741,1066716270,2950,tower,2014
115.87883,40.2696022,1066716334,2950,tower,2014
115.8707813,40.2671625,1066716430,2950,tower,2014
