X,Y,osm_id,code,fclass,year,
121.4603345,31.2008918,2687828676,2502,bakery,,
121.3550447,31.2111291,2688298240,2601,bank,2017,
121.3548254,31.2134683,2688300070,2601,bank,2017,
121.4568214,31.2035117,2688308570,2302,fast_food,,
121.4569178,31.2031848,2688309225,2529,beauty_shop,2017,
121.459287,31.2027039,2688309870,2501,supermarket,,
121.4605854,31.2003296,2688313303,2901,toilet,2017,
121.4577102,31.1999624,2688332046,2501,supermarket,2017,
121.4577954,31.2000226,2688332107,2301,restaurant,,
121.4573825,31.2007144,2688332898,2301,restaurant,,
121.4568765,31.2014005,2688333602,2561,hairdresser,2017,
121.4571898,31.2019246,2688334459,2601,bank,2017,
121.4567782,31.2039393,2688335994,2601,bank,2017,
121.4570348,31.204498,2688337010,2601,bank,2017,
121.4556781,31.2021513,2688454789,2501,supermarket,2017,
121.4577001,31.1995273,2688454930,2601,bank,2017,
121.4574702,31.1984607,2688458362,2302,fast_food,,
121.3561754,31.2161954,2688471130,2901,toilet,2017,
121.3534372,31.2180164,2688499157,2251,sports_centre,2017,
121.352434,31.2142411,2688499733,2082,school,2017,
121.3530379,31.2112428,2688508334,2561,hairdresser,,
121.3542313,31.2210196,2688513734,2901,toilet,2017,
121.3577805,31.2195719,2688517015,2901,toilet,2017,
121.3502208,31.2179556,2688520070,2901,toilet,2017,
121.3571302,31.2245542,2688520575,2901,toilet,2017,
121.3570942,31.2241925,2688520878,2101,pharmacy,2017,
121.3577933,31.21621,2689551453,2101,pharmacy,,
121.355334,31.2110603,2689556628,2101,pharmacy,2017,
121.3550014,31.2081063,2689557478,2101,pharmacy,2017,
121.3594031,31.2079557,2689558693,2601,bank,2017,
121.3591993,31.2083319,2689560186,2101,pharmacy,,
121.3612378,31.2101947,2689560792,2101,pharmacy,2017,
121.3584896,31.2221605,2689583888,2101,pharmacy,2017,
121.563006,31.1245308,2689679542,2901,toilet,2017,
121.5225815,31.2187126,2690613614,2901,toilet,2017,
121.5282288,31.223984,2690613615,2901,toilet,2017,
